"parameter","region","value"
"mean","addis_ababa",20.4043715846988
"sd","addis_ababa",8.23161002320342
"mean","afar",19.1595294982536
"sd","afar",6.98093730081617
"mean","amhara",22.6892129304299
"sd","amhara",8.38205495319236
"mean","benishangul_gumuz",22.6307418841795
"sd","benishangul_gumuz",8.4159699149074
"mean","central",24.5461741424798
"sd","central",6.74074652008326
"mean","dire_dawa",21.5799487742409
"sd","dire_dawa",6.61559442082626
"mean","gambela",22.0282700421929
"sd","gambela",7.74872023116502
"mean","harari",18.2816850803915
"sd","harari",7.86184057031568
"mean","oromia",19.8135790321151
"sd","oromia",8.21544906811925
"mean","sidama",24.5461741424798
"sd","sidama",6.74074652008326
"mean","somali",16.9177117889796
"sd","somali",7.24448388516211
"mean","south",24.5461741424798
"sd","south",6.74074652008326
"mean","southwest",24.5461741424798
"sd","southwest",6.74074652008326
"mean","tigray",22.5598103574024
"sd","tigray",7.49652826492188